country,iso3,Arrivals total,Departures total,Arrivals full-freight,Departures full-freight,Arrivals belly,Departures belly,Cargo-in full freight (tons),Cargo-out full freight (tons),Cargo-in belly (tons),Cargo-out belly (tons),Fashion_en_textiel_fraction_in,Industrie_en_materialen_fraction_in,Low_value_bulk_fraction_in,Machines_en_elektronica_fraction_in,Overig_fraction_in,Perishables_fraction_in,Pharma_fraction_in,Transport_fraction_in,Fashion_en_textiel_fraction_out,Industrie_en_materialen_fraction_out,Low_value_bulk_fraction_out,Machines_en_elektronica_fraction_out,Overig_fraction_out,Perishables_fraction_out,Pharma_fraction_out,Transport_fraction_out,Fashion_en_textiel_eur_per_ton_in,Fashion_en_textiel_eur_per_ton_out,Industrie_en_materialen_eur_per_ton_in,Industrie_en_materialen_eur_per_ton_out,Low_value_bulk_eur_per_ton_in,Low_value_bulk_eur_per_ton_out,Machines_en_elektronica_eur_per_ton_in,Machines_en_elektronica_eur_per_ton_out,Overig_eur_per_ton_in,Overig_eur_per_ton_out,Perishables_eur_per_ton_in,Perishables_eur_per_ton_out,Pharma_eur_per_ton_in,Pharma_eur_per_ton_out,Transport_eur_per_ton_in,Transport_eur_per_ton_out
Albania,ALB,125,125,0,0,125,125,0.0,0.0,1073.4000000000003,1073.4000000000003,0.08856088560885607,0.051660516605166046,0.014760147601476013,0.46125461254612543,0.09594095940959409,0.19188191881918817,0.05535055350553505,0.04059040590405903,0.04808743169398907,0.1519125683060109,0.021857923497267756,0.08306010928961748,0.05464480874316939,0.45464480874316937,0.16612021857923495,0.019672131147540982,27.208333333333332,43.04545454545455,14.571428571428571,40.92086330935252,22.5,12.85,61.88799999999999,127.65789473684211,14.576923076923078,27.880000000000003,8.326923076923077,58.67067307692307,12.933333333333334,128.80921052631578,43.45454545454545,75.0
Angola,AGO,134,135,0,0,134,135,0.0,0.0,5386.799999999998,5426.999999999998,0.00432401268377054,0.010665897953300665,0.0025944076102623237,0.04987027961948689,0.01210723551455751,0.9169789564716057,0.0014413375612568466,0.002017872585759585,0.07305194805194805,0.17337662337662338,0.02922077922077922,0.16201298701298703,0.033766233766233764,0.24155844155844158,0.22759740259740258,0.059415584415584415,18.2,29.115555555555556,15.486486486486488,24.94194756554307,1.888888888888889,14.177777777777777,61.38728323699422,88.57915831663325,8.071428571428573,11.730769230769232,5.030807922037096,20.758064516129032,37.4,67.03138373751783,72.85714285714286,39.54098360655738
Argentina,ARG,386,490,52,156,334,334,5720.0,16120.0,10728.199999999995,10748.799999999996,0.009108653220559532,0.007807417046193884,0.0032530904359141183,0.07221860767729343,0.00520494469746259,0.8763825634352636,0.011060507482108002,0.014964216005204945,0.01217391304347826,0.17217391304347826,0.017391304347826087,0.057391304347826085,0.03304347826086956,0.25043478260869567,0.3130434782608696,0.1443478260869565,27.857142857142858,40.57142857142857,23.166666666666668,36.42929292929293,11.2,16.3,69.51351351351352,102.51515151515152,26.625,19.63157894736842,11.57238307349666,48.80555555555556,40.588235294117645,305.0416666666667,1789.8695652173913,51.6566265060241
Austria,AUT,4346,4347,0,0,4346,4347,0.0,0.0,32489.900000000005,32519.500000000007,0.3370165745856354,0.01657458563535912,0.19060773480662985,0.01657458563535912,0.10220994475138123,0.287292817679558,0.03038674033149172,0.019337016574585638,0.01785714285714286,0.011904761904761904,0.05952380952380952,0.5595238095238095,0.16071428571428573,0.02976190476190476,0.125,0.03571428571428572,35.704918032786885,77.66666666666666,30.0,20.0,5.521739130434782,10.9,102.16666666666666,143.7127659574468,67.45945945945945,56.370370370370374,13.317307692307695,46.6,302.6363636363636,278.4761904761905,240.42857142857142,295.3333333333333
Azerbaijan,AZE,264,192,264,192,0,0,34800.0,25800.0,0.0,0.0,0.0885608856088561,0.05166051660516605,0.014760147601476014,0.46125461254612543,0.0959409594095941,0.1918819188191882,0.05535055350553506,0.04059040590405904,0.048087431693989074,0.15191256830601094,0.02185792349726776,0.08306010928961749,0.054644808743169404,0.4546448087431694,0.16612021857923498,0.019672131147540982,27.208333333333336,43.04545454545455,14.571428571428573,40.92086330935253,22.5,12.850000000000001,61.888000000000005,127.65789473684211,14.576923076923077,27.880000000000003,8.326923076923077,58.67067307692307,12.933333333333332,128.8092105263158,43.45454545454545,75.00000000000001
Bangladesh,BGD,50,0,50,0,0,0,5500.0,0.0,0.0,0.0,0.32781698710148455,0.05828668775857873,0.03352397176928693,0.25906546605013386,0.02494524215137503,0.1202238987588221,0.14894134825991726,0.02719639815040156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.76707498144024,,35.4446764091858,,89.17059891107078,,168.82855800845468,,71.25121951219512,,15.547064777327934,,100.93709150326798,,36.666666666666664,
Belarus,BLR,343,341,0,0,343,341,0.0,0.0,2600.8,2594.0,0.08856088560885608,0.05166051660516605,0.014760147601476014,0.46125461254612543,0.09594095940959409,0.19188191881918817,0.055350553505535055,0.04059040590405904,0.048087431693989074,0.15191256830601094,0.02185792349726776,0.08306010928961749,0.0546448087431694,0.45464480874316937,0.16612021857923498,0.019672131147540985,27.208333333333336,43.04545454545454,14.57142857142857,40.92086330935252,22.5,12.85,61.888000000000005,127.65789473684211,14.576923076923078,27.88,8.326923076923078,58.67067307692308,12.933333333333334,128.80921052631578,43.45454545454545,75.0
Belgium,BEL,1826,1805,26,5,1800,1800,1690.0,500.0,5433.5,5435.7,0.0,0.05555555555555556,0.6666666666666666,0.05555555555555556,0.0,0.20370370370370375,0.01851851851851852,0.0,0.05660377358490566,0.16981132075471697,0.03773584905660377,0.05660377358490566,0.13207547169811323,0.4339622641509434,0.07547169811320754,0.03773584905660377,,51.33333333333333,27.0,25.666666666666668,4.750000000000001,15.5,213.0,124.99999999999999,,19.857142857142854,12.09090909090909,32.43478260869565,67.0,221.5,,93.5
Brazil,BRA,1234,1129,478,364,756,765,52679.600000000006,37960.0,20247.599999999995,20398.7,0.02639242810338551,0.057699308336366946,0.006188569348380051,0.08081543502002184,0.012013105205678923,0.6998543866035676,0.03640334910811795,0.08063341827448126,0.011612903225806452,0.22267281105990783,0.025253456221198158,0.020460829493087557,0.022857142857142857,0.19797235023041473,0.18617511520737326,0.3129953917050691,28.744827586206895,36.3968253968254,30.126182965299684,27.233443708609272,17.470588235294116,21.21167883211679,150.8310810810811,103.2072072072072,17.393939393939394,22.024193548387096,4.254616384915475,42.15270018621974,17.965,345.7227722772277,676.7697516930023,35.945818610129564
Bulgaria,BGR,713,593,0,0,713,593,0.0,0.0,5850.400000000001,4804.7,0.33701657458563533,0.016574585635359115,0.19060773480662982,0.016574585635359115,0.10220994475138122,0.28729281767955805,0.030386740331491715,0.019337016574585635,0.017857142857142856,0.011904761904761906,0.05952380952380952,0.5595238095238095,0.16071428571428573,0.02976190476190476,0.125,0.03571428571428571,35.704918032786885,77.66666666666667,30.0,20.0,5.521739130434783,10.9,102.16666666666667,143.7127659574468,67.45945945945945,56.370370370370374,13.317307692307692,46.60000000000001,302.6363636363636,278.4761904761905,240.42857142857142,295.3333333333333
