country,iso3,Arrivals total,Departures total,Arrivals full-freight,Departures full-freight,Arrivals belly,Departures belly,Cargo-in full freight (tons),Cargo-out full freight (tons),Cargo-in belly (tons),Cargo-out belly (tons)
Albania,ALB,125,125,0,0,125,125,0.0,0.0,1073.4000000000005,1073.4000000000005
Angola,AGO,134,135,0,0,134,135,0.0,0.0,5386.799999999998,5426.999999999998
Argentina,ARG,386,490,52,156,334,334,5720.0,16120.0,10728.199999999997,10748.799999999997
Austria,AUT,4346,4347,0,0,4346,4347,0.0,0.0,32489.900000000005,32519.500000000007
Azerbaijan,AZE,264,192,264,192,0,0,34800.0,25800.0,0.0,0.0
Bangladesh,BGD,50,0,50,0,0,0,5500.0,0.0,0.0,0.0
Belarus,BLR,343,341,0,0,343,341,0.0,0.0,2600.8,2594.0
Belgium,BEL,1826,1805,26,5,1800,1800,1690.0,500.0,5433.5,5435.7
Brazil,BRA,1234,1129,478,364,756,765,52679.600000000006,37960.0,20247.599999999995,20398.699999999997
Bulgaria,BGR,713,593,0,0,713,593,0.0,0.0,5850.400000000001,4804.7
Cabo Verde,CPV,52,52,0,0,52,52,0.0,0.0,689.0000000000002,689.0000000000002
Canada,CAN,2311,2310,116,116,2195,2194,7400.799999999999,7400.799999999999,67950.7,67931.1
Chile,CHL,465,594,131,260,334,334,14480.2,26520.0,10728.199999999997,10748.799999999997
China,CHN,4544,4353,2077,1884,2467,2469,213478.0,193764.0,73647.2,73733.9
Colombia,COL,1437,1138,400,104,1037,1034,44178.0,11440.0,25524.699999999997,25462.1
Costa Rica,CRI,113,113,0,0,113,113,0.0,0.0,4542.5999999999985,4542.5999999999985
Croatia,HRV,1163,1161,0,0,1163,1161,0.0,0.0,6937.3,6921.3
Cuba,CUB,352,352,0,0,352,352,0.0,0.0,13820.899999999998,13820.899999999998
Cyprus,CYP,294,293,0,0,294,293,0.0,0.0,2592.4000000000005,2585.1000000000004
Czechia,CZE,2782,2781,0,0,2782,2781,0.0,0.0,24951.0,24942.6
Denmark,DNK,5590,5596,0,6,5590,5590,0.0,618.0,36848.799999999996,36849.100000000006
Djibouti,DJI,4,0,4,0,0,0,413.8,0.0,0.0,0.0
Ecuador,ECU,1418,722,696,0,722,722,75696.8,0.0,33573.0,33573.0
Egypt,EGY,367,417,2,52,365,365,207.8,5720.0,4329.1,4329.1
Estonia,EST,376,376,0,0,376,376,0.0,0.0,1266.9,1266.9
Ethiopia,ETH,2,0,2,0,0,0,206.0,0.0,0.0,0.0
Finland,FIN,2243,2244,0,0,2243,2244,0.0,0.0,12804.300000000001,12812.699999999999
France,FRA,14757,14823,4,70,14753,14753,415.6,7272.999999999997,82200.50000000001,82185.20000000001
"Gambia, The",GMB,148,147,0,0,148,147,0.0,0.0,1951.8999999999999,1906.8000000000002
Georgia,GEO,113,195,0,104,113,91,0.0,10805.600000000002,609.8999999999997,482.2999999999999
Germany,DEU,20497,20713,67,281,20430,20432,8356.0,32217.0,93605.5,93613.3
Ghana,GHA,365,365,0,0,365,365,0.0,0.0,11015.0,11015.0
Greece,GRC,2947,2921,0,0,2947,2921,0.0,0.0,26216.500000000004,25915.000000000004
Guatemala,GTM,0,52,0,52,0,0,0.0,5720.0,0.0,0.0
Hong Kong,HKG,1006,1006,276,276,730,730,25564.199999999997,25084.199999999997,19712.800000000003,19712.8
Hungary,HUN,1469,1469,0,0,1469,1469,0.0,0.0,11439.2,11439.2
Iceland,ISL,696,695,0,0,696,695,0.0,0.0,8354.0,8571.900000000001
